inference_time,model
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.869831562042236e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.4049153327941895e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1307339668273926e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.1188130378723145e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.027915954589844e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.5002827644348145e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.59266996383667e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.0010938644409176e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.102421760559082e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.285706043243408e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.248453140258789e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
3.9711594581604e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
9.702146053314209e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.576014518737793e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
5.94407320022583e-05,model3d
3.8042664527893066e-05,model3d
3.8042664527893066e-05,model3d
3.8042664527893066e-05,model3d
3.8042664527893066e-05,model3d
