inference_time,model
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.4242868423461914e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.542006015777588e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.489851951599121e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.235042095184326e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
3.1501054763793945e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
2.9593706130981445e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.0903687477111816e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
4.35858964920044e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.1128525733947754e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
3.296136856079101e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
9.447336196899414e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
8.882582187652589e-05,model2d
